id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa
43,Olmo bola,01/03/2012 12:42,Medio (4 - 8 mts),160,Grande,-68.8555456877,-32.8967214732,5,Residencial Sur,2423808.92355,no
46,Fresno europeo,01/03/2012 12:38,Bajo (2 - 4 mts),16,Chico,-68.8556066986,-32.8968926954,5,Residencial Sur,2423808.92355,no
47,Morera,01/03/2012 08:23,Medio (4 - 8 mts),150,Grande,-68.8557135396,-32.8968884698,5,Residencial Sur,2423808.92355,no
50,Fresno europeo,01/03/2012 08:19,Medio (4 - 8 mts),160,Grande,-68.8559959252,-32.8968869126,5,Residencial Sur,2423808.92355,no
54,Morera,01/03/2012 08:13,Medio (4 - 8 mts),180,Grande,-68.8563977544,-32.8968842892,5,Residencial Sur,2423808.92355,no
55,Morera,01/03/2012 08:12,Medio (4 - 8 mts),120,Grande,-68.8564928055,-32.8968819132,5,Residencial Sur,2423808.92355,no
56,Fresno americano,29/02/2012 11:12,Bajo (2 - 4 mts),22,Mediano,-68.8565517502,-32.8968807383,5,Residencial Sur,2423808.92355,no
57,Jacarand,29/02/2012 11:10,Medio (4 - 8 mts),60,Mediano,-68.8566003809,-32.8968795525,5,Residencial Sur,2423808.92355,no
58,Morera,05/03/2012 10:56,Medio (4 - 8 mts),110,Grande,-68.8566897621,-32.8968080147,5,Residencial Sur,2423808.92355,no
59,Morera,05/03/2012 10:55,Medio (4 - 8 mts),110,Grande,-68.8566854205,-32.8967589352,5,Residencial Sur,2423808.92355,no
63,Fresno europeo,05/03/2012 10:40,Bajo (2 - 4 mts),22,Mediano,-68.8566640973,-32.8965521495,5,Residencial Sur,2423808.92355,no
64,Fresno europeo,05/03/2012 10:39,Bajo (2 - 4 mts),50,Mediano,-68.8566631466,-32.8965007268,5,Residencial Sur,2423808.92355,no
65,Fresno europeo,05/03/2012 10:38,Bajo (2 - 4 mts),60,Mediano,-68.8566745934,-32.8964536752,5,Residencial Sur,2423808.92355,no
67,Olmo comun,05/03/2012 10:35,Medio (4 - 8 mts),110,Grande,-68.8567741669,-32.8963498613,5,Residencial Sur,2423808.92355,no
71,Conifera,02/03/2012 13:45,Medio (4 - 8 mts),80,Grande,-68.8570000164,-32.8961607332,5,Residencial Sur,2423808.92355,no
72,Fresno americano,02/03/2012 13:43,Bajo (2 - 4 mts),18,Chico,-68.8570207182,-32.8961433254,5,Residencial Sur,2423808.92355,no
74,Fresno americano,02/03/2012 13:40,Bajo (2 - 4 mts),24,Mediano,-68.857099465,-32.8961049763,5,Residencial Sur,2423808.92355,no
75,Fresno europeo,02/03/2012 13:38,Bajo (2 - 4 mts),38,Mediano,-68.8571470338,-32.8960945728,5,Residencial Sur,2423808.92355,no
76,Fresno europeo,02/03/2012 13:36,Bajo (2 - 4 mts),14,Chico,-68.8571997744,-32.8960815595,5,Residencial Sur,2423808.92355,no
79,Fresno europeo,02/03/2012 13:28,Bajo (2 - 4 mts),28,Mediano,-68.8573962494,-32.8960399488,5,Residencial Sur,2423808.92355,no
80,Fresno europeo,29/02/2012 11:08,Bajo (2 - 4 mts),32,Mediano,-68.8569717785,-32.9018553116,5,Residencial Sur,2423808.92355,no
81,Fresno americano,29/02/2012 11:07,Bajo (2 - 4 mts),36,Mediano,-68.8569036408,-32.9018688672,5,Residencial Sur,2423808.92355,no
82,Fresno americano,29/02/2012 11:04,Bajo (2 - 4 mts),40,Mediano,-68.856861979,-32.901873777,5,Residencial Sur,2423808.92355,si
84,Fresno americano,29/02/2012 11:01,Bajo (2 - 4 mts),24,Mediano,-68.8566761685,-32.9018764604,5,Residencial Sur,2423808.92355,no
85,Fresno europeo,29/02/2012 10:56,Bajo (2 - 4 mts),36,Mediano,-68.85658883,-32.9018751105,5,Residencial Sur,2423808.92355,no
87,Acer,29/02/2012 10:53,Bajo (2 - 4 mts),50,Mediano,-68.8564294551,-32.9018902112,5,Residencial Sur,2423808.92355,no
88,Morera,29/02/2012 10:52,Bajo (2 - 4 mts),50,Mediano,-68.8563808316,-32.9019005023,5,Residencial Sur,2423808.92355,no
89,Fresno europeo,29/02/2012 10:50,Bajo (2 - 4 mts),40,Mediano,-68.8562723706,-32.9019206477,5,Residencial Sur,2423808.92355,no
90,Fresno europeo,29/02/2012 10:49,Bajo (2 - 4 mts),30,Mediano,-68.8562086466,-32.9019325551,5,Residencial Sur,2423808.92355,no
91,Fresno europeo,29/02/2012 10:48,Bajo (2 - 4 mts),32,Mediano,-68.856128661,-32.9019489704,5,Residencial Sur,2423808.92355,no
94,Morera,29/02/2012 10:41,Bajo (2 - 4 mts),40,Mediano,-68.8559767703,-32.9018780886,5,Residencial Sur,2423808.92355,no
95,Morera,29/02/2012 10:39,Bajo (2 - 4 mts),44,Mediano,-68.8559778475,-32.9018181842,5,Residencial Sur,2423808.92355,no
96,Fresno europeo,29/02/2012 10:38,Bajo (2 - 4 mts),36,Mediano,-68.8559749632,-32.9017834767,5,Residencial Sur,2423808.92355,no
97,Pltano,29/02/2012 10:36,Medio (4 - 8 mts),180,Grande,-68.8560408923,-32.9017272402,5,Residencial Sur,2423808.92355,no
99,Pltano,29/02/2012 10:32,Bajo (2 - 4 mts),160,Grande,-68.8562045722,-32.9017241239,5,Residencial Sur,2423808.92355,no
100,Pltano,29/02/2012 10:31,Bajo (2 - 4 mts),164,Grande,-68.8562884675,-32.901722976,5,Residencial Sur,2423808.92355,no
101,Pltano,29/02/2012 10:27,Medio (4 - 8 mts),160,Grande,-68.8564013151,-32.9017206089,5,Residencial Sur,2423808.92355,no
105,Pltano,29/02/2012 10:14,Medio (4 - 8 mts),180,Grande,-68.8566932262,-32.9017201088,5,Residencial Sur,2423808.92355,no
107,Pltano,29/02/2012 10:06,Medio (4 - 8 mts),180,Grande,-68.8568847571,-32.9017166601,5,Residencial Sur,2423808.92355,no
108,Pltano,29/02/2012 10:04,Alto (> 8 mts),180,Grande,-68.8569135597,-32.9017174677,5,Residencial Sur,2423808.92355,no
109,Pltano,28/02/2012 13:30,Alto (> 8 mts),160,Grande,-68.8569917003,-32.9017175571,5,Residencial Sur,2423808.92355,no
112,Morera,29/02/2012 10:51,Bajo (2 - 4 mts),22,Mediano,-68.8569770778,-32.8635909097,6,Residencial Norte,2694682.37982,no
114,Liquidambar,29/02/2012 10:48,Muy bajo (1 - 2 mts),8,Chico,-68.8567764294,-32.8635820428,6,Residencial Norte,2694682.37982,no
116,Jacarand,29/02/2012 10:45,Muy bajo (1 - 2 mts),6,Chico,-68.8566379938,-32.8635749808,6,Residencial Norte,2694682.37982,no
117,Acer,29/02/2012 10:43,Medio (4 - 8 mts),80,Grande,-68.8565642207,-32.8636422827,6,Residencial Norte,2694682.37982,no
121,Morera,29/02/2012 10:33,Bajo (2 - 4 mts),16,Chico,-68.8565817275,-32.8638083644,6,Residencial Norte,2694682.37982,no
124,Ailanthus,29/02/2012 10:28,Bajo (2 - 4 mts),80,Grande,-68.8567009475,-32.8640296437,6,Residencial Norte,2694682.37982,no
126,Jacarand,29/02/2012 10:26,Bajo (2 - 4 mts),46,Mediano,-68.8569444054,-32.8640397021,6,Residencial Norte,2694682.37982,no
129,Braquiquito,29/02/2012 10:20,Bajo (2 - 4 mts),64,Grande,-68.857172859,-32.8640514669,6,Residencial Norte,2694682.37982,no
130,Liquidambar,29/02/2012 10:19,Bajo (2 - 4 mts),24,Mediano,-68.8572705072,-32.8640573664,6,Residencial Norte,2694682.37982,no
132,Paraiso sombrilla,29/02/2012 10:15,Medio (4 - 8 mts),100,Grande,-68.8574609712,-32.8640650829,6,Residencial Norte,2694682.37982,no
134,Paraiso sombrilla,29/02/2012 10:12,Medio (4 - 8 mts),120,Grande,-68.8577134749,-32.8640769147,6,Residencial Norte,2694682.37982,no
135,Morera,29/02/2012 10:09,Bajo (2 - 4 mts),36,Mediano,-68.8578008863,-32.8640816488,6,Residencial Norte,2694682.37982,no
137,Morera,29/02/2012 10:06,Medio (4 - 8 mts),80,Grande,-68.8579538039,-32.8640881831,6,Residencial Norte,2694682.37982,no
138,Morera,29/02/2012 10:05,Medio (4 - 8 mts),80,Grande,-68.858020634,-32.8640911354,6,Residencial Norte,2694682.37982,no
140,Fresno europeo,29/02/2012 09:51,Bajo (2 - 4 mts),36,Mediano,-68.8581197222,-32.8640958771,6,Residencial Norte,2694682.37982,no
143,Caducifolio,28/02/2012 18:23,Bajo (2 - 4 mts),44,Mediano,-68.8583297629,-32.8641070446,6,Residencial Norte,2694682.37982,no
146,Fresno europeo,28/02/2012 18:17,Muy bajo (1 - 2 mts),14,Chico,-68.8580854,-32.8642075023,6,Residencial Norte,2694682.37982,no
147,Fresno europeo,28/02/2012 18:11,Muy bajo (1 - 2 mts),7,Chico,-68.8580028841,-32.8642039579,6,Residencial Norte,2694682.37982,no
148,Paraiso,28/02/2012 18:10,Bajo (2 - 4 mts),120,Grande,-68.8579576256,-32.864202141,6,Residencial Norte,2694682.37982,no
149,Paraiso,28/02/2012 18:08,Bajo (2 - 4 mts),60,Mediano,-68.8578812477,-32.8641980282,6,Residencial Norte,2694682.37982,no
150,Jacarand,27/02/2012 17:57,Bajo (2 - 4 mts),30,Mediano,-68.857820378,-32.8641944866,6,Residencial Norte,2694682.37982,no
153,Jacarand,27/02/2012 17:51,Medio (4 - 8 mts),56,Mediano,-68.8576246578,-32.8641856357,6,Residencial Norte,2694682.37982,no
154,Braquiquito,27/02/2012 17:50,Bajo (2 - 4 mts),50,Mediano,-68.8575776041,-32.8641832819,6,Residencial Norte,2694682.37982,no
155,Fresno europeo,27/02/2012 17:48,Bajo (2 - 4 mts),24,Mediano,-68.857541242600007,-32.8641826418,6,Residencial Norte,2694682.37982,no
159,Fresno europeo,27/02/2012 17:36,Bajo (2 - 4 mts),20,Chico,-68.857346078,-32.8641697479,6,Residencial Norte,2694682.37982,no
161,Paraiso sombrilla,27/02/2012 17:32,Bajo (2 - 4 mts),100,Grande,-68.8571537012,-32.8641614654,6,Residencial Norte,2694682.37982,no
162,Paraiso sombrilla,27/02/2012 17:30,Bajo (2 - 4 mts),80,Grande,-68.8570880942,-32.8641579352,6,Residencial Norte,2694682.37982,no
166,Paraiso,27/02/2012 17:20,Bajo (2 - 4 mts),50,Mediano,-68.8567592135,-32.8641420301,6,Residencial Norte,2694682.37982,no
168,Paraiso,26/02/2012 20:01,Bajo (2 - 4 mts),40,Mediano,-68.8566239237,-32.8642132741,6,Residencial Norte,2694682.37982,no
170,Paraiso,26/02/2012 19:56,Medio (4 - 8 mts),60,Mediano,-68.8566366649,-32.8643478911,6,Residencial Norte,2694682.37982,no
172,Paraiso sombrilla,26/02/2012 19:53,Bajo (2 - 4 mts),46,Mediano,-68.8566542225,-32.8645104625,6,Residencial Norte,2694682.37982,no
173,Paraiso sombrilla,26/02/2012 19:50,Bajo (2 - 4 mts),40,Mediano,-68.8567490006,-32.8645912485,6,Residencial Norte,2694682.37982,no
179,Braquiquito,26/02/2012 19:40,Medio (4 - 8 mts),54,Mediano,-68.8571762698,-32.8646124751,6,Residencial Norte,2694682.37982,no
180,Morera,26/02/2012 19:39,Bajo (2 - 4 mts),44,Mediano,-68.8572069582,-32.8646130845,6,Residencial Norte,2694682.37982,no
181,Braquiquito,26/02/2012 19:37,Muy bajo (1 - 2 mts),16,Chico,-68.8572437821,-32.8646160029,6,Residencial Norte,2694682.37982,no
182,Morera,24/02/2012 11:33,Bajo (2 - 4 mts),50,Mediano,-68.8572935648,-32.8646183608,6,Residencial Norte,2694682.37982,no
186,Morera,24/02/2012 11:26,Bajo (2 - 4 mts),26,Mediano,-68.8575959693,-32.864633138,6,Residencial Norte,2694682.37982,no
187,Morera,24/02/2012 11:24,Bajo (2 - 4 mts),48,Mediano,-68.8576696196,-32.8646360973,6,Residencial Norte,2694682.37982,no
188,Paraiso sombrilla,24/02/2012 11:23,Bajo (2 - 4 mts),100,Grande,-68.857935699,-32.8646507998,6,Residencial Norte,2694682.37982,no
189,Prunas,24/02/2012 11:17,Bajo (2 - 4 mts),22,Mediano,-68.8580176954,-32.8646533329,6,Residencial Norte,2694682.37982,no
193,Tilo,24/02/2012 11:08,Bajo (2 - 4 mts),14,Chico,-68.8581957622,-32.8646641135,6,Residencial Norte,2694682.37982,no
194,Acer,24/02/2012 11:06,Bajo (2 - 4 mts),30,Mediano,-68.858256053,-32.8646670294,6,Residencial Norte,2694682.37982,no
196,Morera,24/02/2012 10:47,Muy bajo (1 - 2 mts),22,Mediano,-68.8583293667,-32.8646707742,6,Residencial Norte,2694682.37982,no
198,Fresno europeo,24/02/2012 10:43,Bajo (2 - 4 mts),20,Chico,-68.8584029873,-32.8645344121,6,Residencial Norte,2694682.37982,no
199,Fresno americano,24/02/2012 10:41,Bajo (2 - 4 mts),28,Mediano,-68.8584021085,-32.8644803013,6,Residencial Norte,2694682.37982,no
200,Morera,24/02/2012 10:39,Bajo (2 - 4 mts),26,Mediano,-68.8583997538,-32.8644385862,6,Residencial Norte,2694682.37982,no
204,Morera,06/03/2012 10:26,Alto (> 8 mts),130,Grande,-68.8393721078,-32.8705776557,4,Cuarta Oeste,1173332.70145,si
208,Olmo bola,06/03/2012 10:17,Medio (4 - 8 mts),65,Grande,-68.8393090184,-32.8703372173,4,Cuarta Oeste,1173332.70145,no
211,Fresno americano,06/03/2012 10:13,Medio (4 - 8 mts),40,Mediano,-68.8392752324,-32.8702071153,4,Cuarta Oeste,1173332.70145,si
213,Morera,06/03/2012 10:05,Alto (> 8 mts),180,Grande,-68.839244618,-32.8700981206,4,Cuarta Oeste,1173332.70145,no
216,Fresno europeo,06/03/2012 10:01,Bajo (2 - 4 mts),18,Chico,-68.8388720729,-32.8699760145,4,Cuarta Oeste,1173332.70145,no
217,Fresno europeo,06/03/2012 10:00,Bajo (2 - 4 mts),18,Chico,-68.8388182088,-32.8699721589,4,Cuarta Oeste,1173332.70145,no
218,Pltano,06/03/2012 09:58,Alto (> 8 mts),170,Grande,-68.8387341999,-32.8699698865,4,Cuarta Oeste,1173332.70145,si
219,Pltano,06/03/2012 09:56,Alto (> 8 mts),180,Grande,-68.8386777703,-32.8699654865,4,Cuarta Oeste,1173332.70145,no
220,Fresno americano,06/03/2012 09:55,Medio (4 - 8 mts),105,Grande,-68.8386264688,-32.8699632581,4,Cuarta Oeste,1173332.70145,no
222,Fresno europeo,06/03/2012 09:49,Alto (> 8 mts),125,Grande,-68.8384548507,-32.8699559989,4,Cuarta Oeste,1173332.70145,no
223,Fresno europeo,06/03/2012 09:48,Muy bajo (1 - 2 mts),16,Chico,-68.8383855905,-32.8699559094,4,Cuarta Oeste,1173332.70145,no
224,Pltano,06/03/2012 09:46,Alto (> 8 mts),200,Grande,-68.8383028656,-32.8699520163,4,Cuarta Oeste,1173332.70145,no
226,Fresno americano,06/03/2012 09:44,Medio (4 - 8 mts),118,Grande,-68.8380796956,-32.8699463184,4,Cuarta Oeste,1173332.70145,no
228,Pltano,06/03/2012 09:41,Alto (> 8 mts),180,Grande,-68.8380639089,-32.8700831815,4,Cuarta Oeste,1173332.70145,no
230,Morera,06/03/2012 09:39,Medio (4 - 8 mts),120,Grande,-68.8380983294,-32.8702159238,4,Cuarta Oeste,1173332.70145,si
231,Jacarand,06/03/2012 09:36,Bajo (2 - 4 mts),25,Mediano,-68.8381161635,-32.8702836173,4,Cuarta Oeste,1173332.70145,si
232,Paraiso,06/03/2012 09:35,Medio (4 - 8 mts),90,Grande,-68.8381238125,-32.8703090495,4,Cuarta Oeste,1173332.70145,no
233,Morera,06/03/2012 09:34,Medio (4 - 8 mts),70,Grande,-68.838138476,-32.8703616535,4,Cuarta Oeste,1173332.70145,si
234,Pltano,06/03/2012 09:32,Alto (> 8 mts),165,Grande,-68.8381569483,-32.8704309717,4,Cuarta Oeste,1173332.70145,no
235,Pltano,06/03/2012 09:31,Alto (> 8 mts),170,Grande,-68.8381639122,-32.8704812818,4,Cuarta Oeste,1173332.70145,no
239,Olmo bola,06/03/2012 09:26,Medio (4 - 8 mts),110,Grande,-68.8385301422,-32.8705570438,4,Cuarta Oeste,1173332.70145,no
240,Pltano,06/03/2012 09:22,Alto (> 8 mts),190,Grande,-68.8385866556,-32.8705625296,4,Cuarta Oeste,1173332.70145,no
242,Pltano,06/03/2012 09:20,Alto (> 8 mts),138,Grande,-68.8387310619,-32.8705730005,4,Cuarta Oeste,1173332.70145,no
245,Pltano,06/03/2012 09:16,Alto (> 8 mts),165,Grande,-68.8389966337,-32.8705933864,4,Cuarta Oeste,1173332.70145,no
246,Pltano,06/03/2012 09:15,Alto (> 8 mts),168,Grande,-68.8390639607,-32.8706005035,4,Cuarta Oeste,1173332.70145,no
247,Pltano,06/03/2012 09:13,Alto (> 8 mts),160,Grande,-68.8391601435,-32.8706087407,4,Cuarta Oeste,1173332.70145,no
248,Olmo bola,06/03/2012 09:11,Medio (4 - 8 mts),90,Grande,-68.8393277792,-32.8706203274,4,Cuarta Oeste,1173332.70145,no
250,Morera,07/03/2012 11:57,Muy bajo (1 - 2 mts),4,Chico,-68.8223482065,-32.8669830912,4,Cuarta Este Área Fundacional,1822015.85685,no
252,Morera,07/03/2012 11:53,Muy bajo (1 - 2 mts),4,Chico,-68.822199023,-32.8669862615,4,Cuarta Este Área Fundacional,1822015.85685,no
253,Paraiso sombrilla,07/03/2012 11:49,Medio (4 - 8 mts),150,Grande,-68.8221276323,-32.8669915711,4,Cuarta Este Área Fundacional,1822015.85685,no
259,Fresno europeo,07/03/2012 11:39,Muy bajo (1 - 2 mts),12,Chico,-68.8220074972,-32.8668966448,4,Cuarta Este Área Fundacional,1822015.85685,no
260,Fresno europeo,07/03/2012 11:38,Medio (4 - 8 mts),130,Grande,-68.8220845592,-32.8668629328,4,Cuarta Este Área Fundacional,1822015.85685,no
262,Fresno europeo,07/03/2012 11:35,Medio (4 - 8 mts),140,Grande,-68.822237089,-32.8667900952,4,Cuarta Este Área Fundacional,1822015.85685,no
263,Fresno europeo,07/03/2012 11:34,Bajo (2 - 4 mts),14,Chico,-68.8223245902,-32.8667496333,4,Cuarta Este Área Fundacional,1822015.85685,no
265,Olmo bola,07/03/2012 11:12,Medio (4 - 8 mts),100,Grande,-68.8224916781,-32.8667139353,4,Cuarta Este Área Fundacional,1822015.85685,no
268,Paraiso sombrilla,07/03/2012 11:07,Medio (4 - 8 mts),150,Grande,-68.8225191763,-32.8669136618,4,Cuarta Este Área Fundacional,1822015.85685,no
269,Morera,07/03/2012 09:11,Medio (4 - 8 mts),150,Grande,-68.821427173,-32.8672087923,4,Cuarta Este Área Fundacional,1822015.85685,no
277,Morera,07/03/2012 08:53,Alto (> 8 mts),180,Grande,-68.8214768818,-32.8676252287,4,Cuarta Este Área Fundacional,1822015.85685,no
278,Morera,07/03/2012 08:51,Alto (> 8 mts),160,Grande,-68.8214852233,-32.8676646961,4,Cuarta Este Área Fundacional,1822015.85685,no
281,Morera,07/03/2012 08:47,Alto (> 8 mts),160,Grande,-68.8215808436,-32.8677849418,4,Cuarta Este Área Fundacional,1822015.85685,no
284,Morera,06/03/2012 10:47,Alto (> 8 mts),110,Grande,-68.8218138388,-32.8677742263,4,Cuarta Este Área Fundacional,1822015.85685,no
288,Paraiso,06/03/2012 10:42,Bajo (2 - 4 mts),30,Mediano,-68.8220327918,-32.8677674362,4,Cuarta Este Área Fundacional,1822015.85685,no
291,Morera,06/03/2012 10:38,Alto (> 8 mts),115,Grande,-68.8222434259,-32.8677637637,4,Cuarta Este Área Fundacional,1822015.85685,no
292,Morera,06/03/2012 10:37,Alto (> 8 mts),160,Grande,-68.8223463635,-32.8677552293,4,Cuarta Este Área Fundacional,1822015.85685,no
293,Morera,05/03/2012 13:35,Alto (> 8 mts),110,Grande,-68.8224812194,-32.8677514353,4,Cuarta Este Área Fundacional,1822015.85685,no
294,Morera,05/03/2012 13:34,Alto (> 8 mts),170,Grande,-68.8225719873,-32.8677460403,4,Cuarta Este Área Fundacional,1822015.85685,no
295,Fresno europeo,05/03/2012 13:33,Bajo (2 - 4 mts),120,Grande,-68.8226190791,-32.8676765909,4,Cuarta Este Área Fundacional,1822015.85685,si
296,Fresno europeo,05/03/2012 13:32,Bajo (2 - 4 mts),100,Grande,-68.8226135503,-32.8676339708,4,Cuarta Este Área Fundacional,1822015.85685,no
298,Fresno europeo,05/03/2012 13:28,Medio (4 - 8 mts),120,Grande,-68.8225960679,-32.8674655997,4,Cuarta Este Área Fundacional,1822015.85685,no
299,Paraiso sombrilla,05/03/2012 13:26,Bajo (2 - 4 mts),30,Mediano,-68.8225905469,-32.8674061891,4,Cuarta Este Área Fundacional,1822015.85685,no
306,Fresno europeo,05/03/2012 13:14,Medio (4 - 8 mts),105,Grande,-68.8224011128,-32.8671097264,4,Cuarta Este Área Fundacional,1822015.85685,no
308,Fresno europeo,05/03/2012 13:06,Alto (> 8 mts),130,Grande,-68.8222502473,-32.8671150395,4,Cuarta Este Área Fundacional,1822015.85685,si
310,Fresno europeo,05/03/2012 13:01,Medio (4 - 8 mts),100,Grande,-68.8221491965,-32.8671164738,4,Cuarta Este Área Fundacional,1822015.85685,no
311,Acer,05/03/2012 12:57,Medio (4 - 8 mts),120,Grande,-68.8220301975,-32.8671218446,4,Cuarta Este Área Fundacional,1822015.85685,no
313,Fresno europeo,05/03/2012 12:52,Medio (4 - 8 mts),35,Mediano,-68.8218158077,-32.8671278738,4,Cuarta Este Área Fundacional,1822015.85685,no
316,Morera,05/03/2012 12:42,Medio (4 - 8 mts),65,Grande,-68.8216023808,-32.86713706,4,Cuarta Este Área Fundacional,1822015.85685,no
317,lamo criollo,05/03/2012 12:41,Alto (> 8 mts),280,Grande,-68.8215088145,-32.8671385045,4,Cuarta Este Área Fundacional,1822015.85685,no
320,Morera,07/03/2012 11:02,Medio (4 - 8 mts),150,Grande,-68.8201615859,-32.867324059,4,Cuarta Este Área Fundacional,1822015.85685,no
324,Morera,07/03/2012 10:36,Medio (4 - 8 mts),140,Grande,-68.8202026342,-32.867659569,4,Cuarta Este Área Fundacional,1822015.85685,no
325,Morera,07/03/2012 10:35,Medio (4 - 8 mts),140,Grande,-68.8202073796,-32.8677022954,4,Cuarta Este Área Fundacional,1822015.85685,no
326,Paraiso sombrilla,07/03/2012 10:33,Medio (4 - 8 mts),64,Grande,-68.8202140935,-32.8677569901,4,Cuarta Este Área Fundacional,1822015.85685,no
327,Fresno europeo,07/03/2012 10:32,Muy bajo (1 - 2 mts),5,Chico,-68.8203178588,-32.8678154382,4,Cuarta Este Área Fundacional,1822015.85685,no
329,Perenne,07/03/2012 10:29,Muy bajo (1 - 2 mts),6,Chico,-68.8204708199,-32.8678122025,4,Cuarta Este Área Fundacional,1822015.85685,no
330,Paraiso sombrilla,07/03/2012 10:21,Medio (4 - 8 mts),180,Grande,-68.8205439381,-32.8678099955,4,Cuarta Este Área Fundacional,1822015.85685,no
331,Fresno americano,07/03/2012 10:18,Bajo (2 - 4 mts),20,Chico,-68.8205821625,-32.8678083236,4,Cuarta Este Área Fundacional,1822015.85685,no
333,Caducifolio,07/03/2012 10:15,Muy bajo (1 - 2 mts),4,Chico,-68.8206689621,-32.8678072704,4,Cuarta Este Área Fundacional,1822015.85685,no
334,Jacarand,07/03/2012 10:08,Bajo (2 - 4 mts),28,Mediano,-68.8207051393,-32.8678055955,4,Cuarta Este Área Fundacional,1822015.85685,no
335,Jacarand,07/03/2012 10:06,Medio (4 - 8 mts),48,Mediano,-68.8208082932,-32.867801711,4,Cuarta Este Área Fundacional,1822015.85685,no
337,Morera,07/03/2012 09:56,Medio (4 - 8 mts),80,Grande,-68.8209340192,-32.8677989785,4,Cuarta Este Área Fundacional,1822015.85685,no
338,Morera,07/03/2012 09:54,Medio (4 - 8 mts),110,Grande,-68.8210036415,-32.8677961999,4,Cuarta Este Área Fundacional,1822015.85685,no
339,Morera,07/03/2012 09:53,Bajo (2 - 4 mts),36,Mediano,-68.8211035386,-32.8677955611,4,Cuarta Este Área Fundacional,1822015.85685,no
341,Morera,07/03/2012 09:50,Medio (4 - 8 mts),110,Grande,-68.8212466236,-32.8677897522,4,Cuarta Este Área Fundacional,1822015.85685,no
342,Morera,07/03/2012 09:48,Medio (4 - 8 mts),120,Grande,-68.8213364357,-32.8677165205,4,Cuarta Este Área Fundacional,1822015.85685,no
344,Morera,07/03/2012 09:40,Medio (4 - 8 mts),110,Grande,-68.8213236782,-32.8676052395,4,Cuarta Este Área Fundacional,1822015.85685,no
347,Morera,07/03/2012 09:35,Medio (4 - 8 mts),46,Mediano,-68.8212954675,-32.8673676947,4,Cuarta Este Área Fundacional,1822015.85685,no
349,Morera,07/03/2012 09:32,Medio (4 - 8 mts),150,Grande,-68.8212860356,-32.8673019621,4,Cuarta Este Área Fundacional,1822015.85685,no
